trade_date,open,high,low,close,vol,pre_close
2023-04-07,122.05,124.59,120.76,122.1,32746.7,122.05
2023-04-10,121.5,125.65,118.55,124.33,46055.97,122.1
2023-04-11,122.26,123.03,118.72,119.89,59634.52,124.33
2023-04-12,119.96,120.5,115.13,115.87,67234.78,119.89
2023-04-13,115.99,118.6,115.88,117.35,45371.25,115.87
2023-04-14,118.01,119.8,115.15,115.88,41658.52,117.35
2023-04-17,116.3,118.45,115.78,116.45,36877.77,115.88
2023-04-18,117.0,118.3,115.78,117.68,39822.72,116.45
2023-04-19,117.9,117.9,115.9,116.6,33089.94,117.68
2023-04-20,116.6,117.45,112.93,114.03,72707.86,116.6
2023-04-21,114.77,116.32,113.56,114.35,39920.18,114.03
2023-04-24,113.9,114.5,112.1,113.5,45259.62,114.35
2023-04-25,116.19,118.27,114.68,117.04,89206.22,113.5
2023-04-26,116.39,119.62,114.11,118.94,67918.36,117.04
2023-04-27,118.0,118.0,114.4,116.61,57691.95,118.94
2023-04-28,116.6,117.09,115.11,116.8,51919.06,116.61
2023-05-04,116.8,117.63,111.0,111.76,90808.08,116.8
2023-05-05,111.1,112.79,108.69,112.15,62782.65,111.76
2023-05-08,111.6,112.15,107.38,108.12,84795.28,112.15
2023-05-09,108.13,109.2,106.05,107.29,55879.49,108.12
2023-05-10,107.08,107.48,104.59,105.78,45713.61,107.29
2023-05-11,105.76,106.37,104.3,104.94,33334.64,105.78
2023-05-12,104.99,105.8,103.09,103.66,45851.07,104.94
2023-05-15,103.84,106.85,102.5,106.59,69125.15,103.66
2023-05-16,106.0,107.5,104.45,105.22,60181.63,106.59
2023-05-17,105.0,105.0,101.61,103.05,65206.5,105.22
2023-05-18,103.0,103.79,102.3,103.7,39146.34,103.05
2023-05-19,103.4,109.8,102.29,107.44,77587.88,103.7
2023-05-22,106.46,109.44,105.03,107.8,68460.34,107.44
2023-05-23,107.36,107.78,104.74,105.19,47082.09,107.8
2023-05-24,104.43,104.5,102.12,102.16,53155.0,105.19
2023-05-25,101.6,102.55,100.25,101.2,56961.56,102.16
2023-05-26,100.89,101.71,99.29,99.83,45099.19,101.2
2023-05-29,99.84,100.29,98.18,99.75,61213.21,99.83
2023-05-30,99.21,99.4,95.77,96.95,88456.39,99.75
2023-05-31,97.65,97.9,94.8,95.21,48440.9,96.95
2023-06-01,95.56,97.47,94.99,96.01,61423.03,95.21
2023-06-02,96.03,99.98,96.03,98.99,85636.9,96.01
2023-06-05,98.9,99.71,97.58,99.06,47416.32,98.99
2023-06-06,98.5,101.0,98.2,99.5,51703.81,99.06
2023-06-07,99.5,100.39,97.67,98.0,48631.22,99.5
2023-06-08,97.57,99.0,96.8,97.84,37268.71,98.0
2023-06-09,98.13,99.1,97.38,98.82,37477.5,97.84
2023-06-12,98.82,104.0,98.68,103.36,101624.88,98.82
2023-06-13,102.7,104.02,101.05,102.75,50488.64,103.36
2023-06-14,103.19,104.71,102.8,102.98,65319.21,102.75
2023-06-15,103.2,105.33,101.57,104.96,90517.18,102.98
2023-06-16,105.5,106.38,104.57,105.92,56576.7,104.96
2023-06-19,105.66,106.38,103.1,104.08,68152.46,105.92
2023-06-20,103.51,104.9,102.5,104.04,43712.02,104.08
2023-06-21,102.85,104.0,102.3,102.69,36920.45,104.04
2023-06-26,102.02,102.93,100.51,102.3,37913.88,102.69
